title,genres,runtime,rating,actors
Koombiyo,"Crime, Drama, Thriller            ",20,9.9,"Thumindu Dodantenne, Kalana Gunasekara, Andrew Pullen, Yureni Noshika"
The Filthy Frank Show,"Short, Comedy, Fantasy            ",12,9.9,"George Miller, Artemis Holdenberry, Zeeq, Bloody Hairy"
Game of Thrones,"Adventure, Drama, Fantasy            ",57,9.5,"Emilia Clarke, Peter Dinklage, Kit Harington, Lena Headey"
Breaking Bad,"Crime, Drama, Thriller            ",49,9.5,"Bryan Cranston, Aaron Paul, Anna Gunn, Betsy Brandt"
Rick and Morty,"Animation, Adventure, Comedy            ",22,9.4,"Chris Parnell, Spencer Grammer, Sarah Chalke, Justin Roiland"
The Wire,"Crime, Drama, Thriller            ",59,9.3,"Dominic West, Lance Reddick, Sonja Sohn, Wendell Pierce"
TVF Pitchers,"Comedy, Drama            ",40,9.3,"Naveen Kasturia, Arunabh Kumar, Jitendra Kumar, Abhay Mahajan"
Sherlock,"Crime, Drama, Mystery            ",88,9.2,"Benedict Cumberbatch, Martin Freeman, Una Stubbs, Rupert Graves"
The Sopranos,"Crime, Drama            ",55,9.2,"James Gandolfini, Lorraine Bracco, Edie Falco, Michael Imperioli"
Avatar: The Last Airbender,"Animation, Action, Adventure            ",23,9.2,"Dee Bradley Baker, Zach Tyler, Mae Whitman, Jack De Sena"
Content Cop,"Documentary, Comedy, Crime            ",20,9.2,"Ian Carter, Calvin Vail, Roman Atwood, Anthony Brady"
Leyla ile Mecnun,"Adventure, Comedy, Drama            ",80,9.2,"Ali Atay, Cengiz Bozkurt, Serkan Keskin, Osman Sonant"
Firefly,"Adventure, Drama, Sci-Fi            ",44,9.1,"Nathan Fillion, Gina Torres, Alan Tudyk, Morena Baccarin"
Hagane no renkinjutsushi,"Animation, Action, Adventure            ",24,9.1,"Kent Williams, Iemasa Kayumi, Muriel Hofmann, Lili Troncale"
Sarabhai vs Sarabhai,Comedy            ,30,9.1,"Satish Shah, Ratna Pathak Shah, Sumeet Raghvan, Rupali Ganguly"
Westworld,"Drama, Mystery, Sci-Fi            ",60,9.0,"Evan Rachel Wood, Jeffrey Wright, Ed Harris, Thandie Newton"
House of Cards,Drama            ,51,9.0,"Kevin Spacey, Michel Gill, Robin Wright, Kate Mara"
Fargo,"Crime, Drama, Thriller            ",53,9.0,"Billy Bob Thornton, Martin Freeman, Allison Tolman, Colin Hanks"
True Detective,"Crime, Drama, Mystery            ",55,9.0,"Vince Vaughn, Colin Farrell, Rachel McAdams, Taylor Kitsch"
Last Week Tonight with John Oliver,"Comedy, News, Talk-Show            ",30,9.0,"John Oliver, David Kaye, Noel MacNeal, Alberto Bonilla"
The Twilight Zone,"Fantasy, Horror, Mystery            ",51,9.0,"Rod Serling, Robert McCord, Jay Overholts, Vaughn Taylor"
Death Note: Desu nôto,"Animation, Crime, Drama            ",24,9.0,"Mamoru Miyano, Brad Swaile, Vincent Tong, Ryô Naitô"
One Punch Man: Wanpanman,"Animation, Action, Comedy            ",24,9.0,"Makoto Furukawa, Max Mittelman, Kaito Ishikawa, Zach Aguilar"
Batman: The Animated Series,"Animation, Action, Adventure            ",23,9.0,"Kevin Conroy, Loren Lester, Efrem Zimbalist Jr., Robert Hastings"
Stranger Things,"Drama, Fantasy, Horror            ",55,8.9,"Millie Bobby Brown, Finn Wolfhard, Winona Ryder, David Harbour"
Friends,"Comedy, Romance            ",22,8.9,"Jennifer Aniston, Courteney Cox, Lisa Kudrow, Matt LeBlanc"
Narcos,"Biography, Crime, Drama            ",49,8.9,"Pedro Pascal, Wagner Moura, Boyd Holbrook, Alberto Ammann"
Black Mirror,"Drama, Sci-Fi, Thriller            ",60,8.9,"Hannah John-Kamen, Michaela Coel, Beatrice Robertson-Jones, Daniel Westwood"
Seinfeld,Comedy            ,22,8.9,"Jerry Seinfeld, Julia Louis-Dreyfus, Michael Richards, Jason Alexander"
Twin Peaks,"Crime, Drama, Mystery            ",47,8.9,"Kyle MacLachlan, Michael Ontkean, Mädchen Amick, Dana Ashbrook"
Arrested Development,Comedy            ,489,8.9,"Jason Bateman, Michael Cera, Portia de Rossi, Will Arnett"
Only Fools and Horses....,Comedy            ,95,8.9,"David Jason, Nicholas Lyndhurst, Roger Lloyd Pack, Buster Merryfield"
Gravity Falls,"Animation, Adventure, Comedy            ",23,8.9,"Jason Ritter, Alex Hirsch, Kristen Schaal, Linda Cardellini"
Skam,"Drama, Romance            ",30,8.9,"Josefine Frida Pettersen, Iman Meskini, Ulrikke Falch, Lisa Teige"
Kaubôi bibappu,"Animation, Action, Adventure            ",24,8.9,"Kôichi Yamadera, Unshô Ishizuka, Megumi Hayashibara, Steve Blum"
Monty Python's Flying Circus,Comedy            ,30,8.9,"Graham Chapman, John Cleese, Terry Gilliam, Eric Idle"
Pod prikritie,"Action, Crime, Drama            ",60,8.9,"Vladimir Penev, Ivaylo Zahariev, Zachary Baharov, Marian Valev"
Mindhunter,"Crime, Drama, Thriller            ",60,8.8,"Jonathan Groff, Holt McCallany, Hannah Gross, Sonny Valicenti"
This Is Us,"Comedy, Drama            ",45,8.8,"Milo Ventimiglia, Mandy Moore, Sterling K. Brown, Chrissy Metz"
Peaky Blinders,"Crime, Drama            ",60,8.8,"Cillian Murphy, Paul Anderson, Joe Cole, Helen McCrory"
The Office,Comedy            ,22,8.8,"Steve Carell, Jenna Fischer, John Krasinski, Rainn Wilson"
South Park,"Animation, Comedy            ",22,8.8,"Trey Parker, Matt Stone, Isaac Hayes, Mona Marshall"
It's Always Sunny in Philadelphia,Comedy            ,22,8.8,"Charlie Day, Glenn Howerton, Rob McElhenney, Kaitlin Olson"
The Simpsons,"Animation, Comedy            ",22,8.8,"Dan Castellaneta, Nancy Cartwright, Julie Kavner, Yeardley Smith"
House M.D.,"Drama, Mystery            ",44,8.8,"Hugh Laurie, Omar Epps, Robert Sean Leonard, Jesse Spencer"
The Grand Tour,"Comedy, Talk-Show            ",60,8.8,"Jeremy Clarkson, Richard Hammond, James May, Mike Skinner"
The West Wing,Drama            ,44,8.8,"Martin Sheen, Rob Lowe, Allison Janney, John Spencer"
Freaks and Geeks,"Comedy, Drama            ",44,8.8,"Linda Cardellini, John Francis Daley, James Franco, Samm Levine"
Shingeki no kyojin,"Animation, Action, Adventure            ",24,8.8,"Yuki Kaji, Marina Inoue, Josh Grelle, Bryce Papenbrook"
Rome,"Action, Drama, History            ",90,8.8,"Kevin McKidd, Ray Stevenson, Polly Walker, Kerry Condon"
